Category,Word,Weight
ACCOUNT,account,5.368685271876598
ACCOUNT,signup,4.700038058153114
ACCOUNT,registration,3.497792517003122
ACCOUNT,user,3.356191081512794
ACCOUNT,profile,2.7690070219164236
ACCOUNT,pin,2.531210528707024
ACCOUNT,key,2.2719710595098297
ACCOUNT,freemium,2.204362585332876
ACCOUNT,standard,2.1816435557026086
ACCOUNT,pro,2.1576013636473883
ACCOUNT,platinum,2.1275759939904035
ACCOUNT,gold,2.119525114808877
ACCOUNT,premium,2.033301503093637
ACCOUNT,password,2.026070738588847
ACCOUNT,pwd,2.0059647291257683
CANCEL,fee,3.3147476051437494
CANCEL,penalty,3.2447618218927574
CANCEL,charge,3.1500511926431
CANCEL,withdrawal,2.52958173997195
CANCEL,early,2.057069163945211
CANCEL,termination,2.021033978232029
CANCEL,exit,1.522397951247836
CANCEL,na see withdrawalcharge,1.5141683201886502
CANCEL,know see terminationpenalty,1.3293735301192302
CANCEL,contract,1.2893074439527423
CANCEL,cancellation,1.2605259084266975
CANCEL,check cancellation,1.1607584659596208
CANCEL,check termination,1.1440445637981405
CANCEL,see,1.0344154234745655
CANCEL,early exit,1.0077490948578003
CONTACT,speak,3.1366098390563995
CONTACT,talk,2.925037707496851
CONTACT,agent,2.9094774522403446
CONTACT,contact,2.8487504828796673
CONTACT,customer,2.788602580765899
CONTACT,person,2.4425642224567734
CONTACT,chat,2.4126148266111205
CONTACT,assistant,2.3667097329648716
CONTACT,operator,2.308182513951544
CONTACT,somebody,2.289954823388496
CONTACT,someone,1.9055763738163287
CONTACT,hour,1.7593341496049215
CONTACT,customer support,1.7524300749302244
CONTACT,customer assistance,1.730409704442732
CONTACT,customer service,1.722397564745398
DELIVERY,arrive,4.416071611408402
DELIVERY,shipment,3.1594577318508406
DELIVERY,delivery,3.1262884244504967
DELIVERY,period,2.889151523580294
DELIVERY,soon,2.6566093853120307
DELIVERY,shipping,2.2435670533704037
DELIVERY,expect,1.9753936188174612
DELIVERY,method,1.9651882818724682
DELIVERY,option,1.8945530545290412
DELIVERY,city,1.5911930893517416
DELIVERY,delivery city,1.5911930893517416
DELIVERY,delivery country,1.566017343820478
DELIVERY,country,1.566017343820478
DELIVERY,shipping option,1.4443484806668416
DELIVERY,soon expect,1.4041903392645954
FEEDBACK,feedback,4.04163989630197
FEEDBACK,claim,3.265752653711184
FEEDBACK,leave,2.8615760789540663
FEEDBACK,complaint,2.835760308181022
FEEDBACK,reclamation,2.8255426080729573
FEEDBACK,lodge,2.6962026487921036
FEEDBACK,file,2.536567059978097
FEEDBACK,review,2.390093980284862
FEEDBACK,comment,2.337258887365905
FEEDBACK,opinion,2.2038171576407257
FEEDBACK,write,1.9233728003301258
FEEDBACK,make,1.8431736472904452
FEEDBACK,consumer,1.7204018127156142
FEEDBACK,send,1.62417818482179
FEEDBACK,business,1.4126218416148126
INVOICE,bill,5.510685226568096
INVOICE,invoice,5.3601882143903685
INVOICE,name,2.729505135138985
INVOICE,person name,2.729505135138985
INVOICE,download,2.1494114398869906
INVOICE,look,1.7919371000435076
INVOICE,inovice,1.611165420159037
INVOICE,checkbill,1.6039842268300768
INVOICE,getinvoice,1.4771995073605366
INVOICE,invooce,1.4251000301478614
INVOICE,locate,1.4121319752460813
INVOICE,invoiceinvoice,1.162617402153087
INVOICE,invoiceinvoice number,1.162617402153087
INVOICE,bil,1.1463251103388135
INVOICE,ibll,1.1356639783046383
ORDER,order,5.219470387916316
ORDER,purchase,3.3325849148593867
ORDER,item,2.885786711425212
ORDER,article,2.7499284733151215
ORDER,buy,2.4847661326653734
ORDER,acquire,2.4492307063868672
ORDER,order number,2.4483216808722164
ORDER,shop,2.383786870160992
ORDER,earn,2.338218880293423
ORDER,product,2.1846650225760147
ORDER,several,2.0870169886724117
ORDER,something,1.9921627662469337
ORDER,number,1.9070602549293747
ORDER,buying,1.6608107250535025
ORDER,acquiring,1.552680975682526
PAYMENT,payment,7.040633073798397
PAYMENT,modality,2.2513012469694886
PAYMENT,online,1.8498006783396117
PAYMENT,accepted,1.7891586454106343
PAYMENT,inform,1.4424322870335229
PAYMENT,pamyent,1.4175247141826726
PAYMENT,allowed,1.3748493974651028
PAYMENT,option,1.3274902612420716
PAYMENT,payment method,1.2675446444416922
PAYMENT,withpayment,1.2081539535944605
PAYMENT,report,1.1967963646176367
PAYMENT,list,1.1956771189953057
PAYMENT,solve,1.1513665898703316
PAYMENT,ya accept,1.139218079657446
PAYMENT,paymenst,1.1382347534979393
REFUND,refund,4.79693865633196
REFUND,reimbursement,4.447174538771628
REFUND,rebate,4.128452999318994
REFUND,compensation,4.114819388934321
REFUND,money,3.442111714546886
REFUND,restitution,3.153678084232499
REFUND,ask,2.273850308268414
REFUND,policy,1.953545231058732
REFUND,request,1.9321775746784766
REFUND,status,1.7350110524793925
REFUND,reimbursable,1.5484948550803026
REFUND,case,1.5388911689494413
REFUND,situation,1.4830451050450306
REFUND,amount,1.4084637268876325
REFUND,refundable,1.3652415520807317
SHIPPING,address,6.678839693520578
SHIPPING,shipping,1.6582540396982697
SHIPPING,delivery,1.6247962791735695
SHIPPING,adress,1.6045283670288264
SHIPPING,addres,1.5257203495456255
SHIPPING,deliveryaddress,1.439551439659182
SHIPPING,change,1.4166621665995713
SHIPPING,set,1.3393390578392745
SHIPPING,dadress,1.2864853475963949
SHIPPING,delivery address,1.2441268369369445
SHIPPING,shipping address,1.2339148535359816
SHIPPING,acdress,1.1486345345138151
SHIPPING,updating,1.070303000223688
SHIPPING,secondary,1.0315519863174536
SHIPPING,changing,1.0243091150874317
SUBSCRIPTION,newsletter,5.439515078316787
SUBSCRIPTION,subscription,2.6679850575994815
SUBSCRIPTION,unsubscribe,2.392685143734558
SUBSCRIPTION,corporate,1.8522688303305048
SUBSCRIPTION,unsubscribing,1.7745233976184318
SUBSCRIPTION,subscribe,1.7399246522587501
SUBSCRIPTION,newslettersubscription,1.6174004538429732
SUBSCRIPTION,newsleter,1.412704779934625
SUBSCRIPTION,newesletter,1.3238403860683317
SUBSCRIPTION,sign,1.3015462685101316
SUBSCRIPTION,know receive thenewsletter,1.2922295346523938
SUBSCRIPTION,newxletter,1.1370607190897009
SUBSCRIPTION,company newsletter,1.11862052646933
SUBSCRIPTION,subscribing,1.0704758483810135
SUBSCRIPTION,newsleyter,1.0156786706248477
